"No","Column Name","Line No","Line Length","Intersection Grids","No Points","Points"
"","","","","11","Point 3-2","(1782.065498779, 725.537243348, 0.000000000)"
"","","","","J","Point 3-3","(1783.049750747, 726.521495317, 0.000000000)"
"","","Line 2-2","3.09","","",""
"","","","","11","Point 3-1","(1784.034002716, 725.537243348, 0.000000000)"
"","","","","11","Point 3-2","(1782.065498779, 725.537243348, 0.000000000)"
"","","","","J","Point 3-3","(1783.049750747, 724.552991380, 0.000000000)"
"","Total Line Length","=","6.18423750706643","","",""
"27","C3 600mm","","","","",""
"","","Line 2-1","3.09","","",""
"","","","","3","Point 3-1","(1782.065498779, 764.415196104, 0.000000000)"
"","","","","3","Point 3-2","(1784.034002716, 764.415196104, 0.000000000)"
"","","","","J","Point 3-3","(1783.049750747, 765.399448072, 0.000000000)"
"","","Line 2-2","3.09","","",""
"","","","","3","Point 3-1","(1782.065498779, 764.415196104, 0.000000000)"
"","","","","3","Point 3-2","(1784.034002716, 764.415196104, 0.000000000)"
"","","","","J","Point 3-3","(1783.049750747, 763.430944135, 0.000000000)"
"","Total Line Length","=","6.18423750706643","","",""
"28","C3 600mm","","","","",""
"","","Line 2-1","3.09","","",""
"","","","","3","Point 3-1","(1797.649488280, 764.415196104, 0.000000000)"
"","","","","3","Point 3-2","(1799.617992217, 764.415196104, 0.000000000)"
"","","","","F","Point 3-3","(1798.633740248, 765.399448072, 0.000000000)"
"","","Line 2-2","3.09","","",""
"","","","","3","Point 3-1","(1797.649488280, 764.415196104, 0.000000000)"
"","","","","3","Point 3-2","(1799.617992217, 764.415196104, 0.000000000)"
"","","","","F","Point 3-3","(1798.633740248, 763.430944135, 0.000000000)"
"","Total Line Length","=","6.18423750706643","","",""
"29","C3 600mm","","","","",""
"","","Line 4-1","1.88","","",""
"","","","","3","Point 2-1","(1813.233477781, 764.415196104, 0.000000000)"
"","","","","B","Point 2-2","(1814.217729750, 765.399448072, 0.000000000)"
"","","Line 4-2","1.21","","",""
"","","","","3","Point 1-1","(1815.201981718, 764.415196104, 0.000000000)"
"","","Line 4-3","1.87","","",""
"","","","","3","Point 2-1","(1815.201981718, 764.415196104, 0.000000000)"
"","","","","B","Point 2-2","(1814.217729750, 763.430944135, 0.000000000)"
"","","Line 4-4","1.22","","",""
"","","","","3","Point 1-1","(1813.233477781, 764.415196104, 0.000000000)"
"","Total Line Length","=","6.18423750706643","","",""
"30","C5 1000 x 500mm","","","","",""
"","","Line 6-1","3.28","","",""
"","","","","4","Point 1-1","(1832.262349172, 758.396032483, 0.000000000)"
"","","Line 6-2","1.64","","",""
"","","","","A","Point 1-1","(1831.032034212, 756.755612536, 0.000000000)"
"","","Line 6-3","0.34","","",""
"","","Line 6-4","2.94","","",""
"","","","","4","Point 1-1","(1830.621929225, 758.396032483, 0.000000000)"
"","","Line 6-5","1.03","","",""
"","","","","A","Point 1-1","(1831.032034212, 760.036452431, 0.000000000)"
"","","Line 6-6","0.61","","",""
"","Total Line Length","=","9.84251968503963","","",""
"31","C5 1000 x 500mm","","","","",""
"","","Line 6-1","3.28","","",""
"","","","","10","Point 1-1","(1832.262349172, 731.556406969, 0.000000000)"
"","","Line 6-2","0.78","","",""
"","","Line 6-3","0.86","","",""
"","","","","A","Point 1-1","(1831.032034212, 729.915987021, 0.000000000)"
"","","Line 6-4","2.46","","",""
"","","","","10","Point 1-1","(1830.621929225, 731.556406969, 0.000000000)"
"","","Line 6-5","0.83","","",""
"","","Line 6-6","1.64","","",""
"","","","","A","Point 1-1","(1831.032034212, 733.196826916, 0.000000000)"
"","Total Line Length","=","9.84251968503963","","",""
"32","C3 600mm","","","","",""
"","","Line 2-1","3.09","","",""
"","","","","15","Point 3-1","(1784.034002716, 693.302991380, 0.000000000)"
"","","","","15","Point 3-2","(1782.065498779, 693.302991380, 0.000000000)"
"","","","","J","Point 3-3","(1783.049750747, 694.287243348, 0.000000000)"
"","","Line 2-2","3.09","","",""
"","","","","15","Point 3-1","(1784.034002716, 693.302991380, 0.000000000)"
"","","","","15","Point 3-2","(1782.065498779, 693.302991380, 0.000000000)"
"","","","","J","Point 3-3","(1783.049750747, 692.318739411, 0.000000000)"
"","Total Line Length","=","6.18423750706643","","",""
"33","C3 600mm","","","","",""
"","","Line 2-1","3.09","","",""
"","","","","15","Point 3-1","(1815.201981718, 693.302991380, 0.000000000)"
"","","","","15","Point 3-2","(1813.233477781, 693.302991380, 0.000000000)"
"","","","","B","Point 3-3","(1814.217729750, 694.287243348, 0.000000000)"
"","","Line 2-2","3.09","","",""
"","","","","15","Point 3-1","(1815.201981718, 693.302991380, 0.000000000)"
"","","","","15","Point 3-2","(1813.233477781, 693.302991380, 0.000000000)"
"","","","","B","Point 3-3","(1814.217729750, 692.318739411, 0.000000000)"
"","Total Line Length","=","6.18423750706643","","",""
"34","C4 500 x 500mm","","","","",""
"","","Line 4-1","1.64","","",""
"","","","","12","Point 1-1","(1813.283867966, 712.577925763, 0.000000000)"
"","","Line 4-2","1.64","","",""
"","","","","C","Point 1-1","(1812.053553006, 711.347610802, 0.000000000)"
"","","Line 4-3","1.64","","",""
"","","","","12","Point 1-1","(1811.643448019, 712.577925763, 0.000000000)"
"","","Line 4-4","1.64","","",""
"","","","","C","Point 1-1","(1812.053553006, 712.988030750, 0.000000000)"
"","Total Line Length","=","6.56167979002635","","",""
"35","C7 700x450/250X250mm","","","","",""
"","","Line 8-1","0.82","","",""
"","","Line 8-2","1.48","","",""
"","","Line 8-3","0.82","","",""
"","","","","L","Point 1-1","(1766.235522723, 761.020704399, 0.000000000)"
"","","Line 8-4","5.25","","",""
"","","","","4","Point 1-1","(1766.645627710, 758.396032483, 0.000000000)"
"","","Line 8-5","0.82","","",""
"","","","","L","Point 1-1","(1766.235522723, 755.771360567, 0.000000000)"
"","","Line 8-6","1.48","","",""
"","","Line 8-7","0.82","","",""
"","","Line 8-8","2.3","","",""
"","","","","4","Point 1-1","(1765.005207762, 758.396032483, 0.000000000)"
"","Total Line Length","=","13.7795275590548","","",""
"36","C10 250 x 250mm","","","","",""
"","","Line 6-1","0.82","","",""
"","","","","1","Point 1-1","(1792.765688302, 787.217033374, 0.000000000)"
"","","Line 6-2","0.82","","",""
"","","","","G","Point 1-1","(1792.568837909, 786.806928387, 0.000000000)"
"","","Line 6-3","0.82","","",""
"","","Line 6-4","0.82","","",""
"","","Line 6-5","1.16","","",""
"","","","","1","Point 1-1","(1791.195631247, 787.217033374, 0.000000000)"
"","","Line 6-6","1.16","","",""
"","","","","G","Point 1-1","(1792.568837909, 787.627138361, 0.000000000)"
"","Total Line Length","=","5.60074403276417","","",""
"37","C10 250 x 250mm","","","","",""
"","","Line 6-1","1.16","","",""
"","","","","E","Point 1-1","(1804.698642588, 787.627138361, 0.000000000)"
"","","Line 6-2","1.16","","",""
"","","","","1","Point 1-1","(1806.071849250, 787.217033374, 0.000000000)"
"","","Line 6-3","0.82","","",""
"","","Line 6-4","0.82","","",""
"","","Line 6-5","0.82","","",""
"","","","","E","Point 1-1","(1804.698642588, 786.806928387, 0.000000000)"
"","","Line 6-6","0.82","","",""
"","","","","1","Point 1-1","(1804.501792194, 787.217033374, 0.000000000)"
"","Total Line Length","=","5.60074403276417","","",""
"38","C7 700x450/250X250mm","","","","",""
"","","Line 8-1","0.82","","",""
"","","Line 8-2","1.48","","",""
"","","Line 8-3","0.82","","",""
"","","","","L","Point 1-1","(1766.235522723, 734.181078885, 0.000000000)"
"","","Line 8-4","5.25","","",""
"","","","","10","Point 1-1","(1766.645627710, 731.556406969, 0.000000000)"
"","","Line 8-5","0.82","","",""
"","","","","L","Point 1-1","(1766.235522723, 728.931735053, 0.000000000)"
"","","Line 8-6","1.48","","",""
"","","Line 8-7","0.82","","",""
"","","Line 8-8","2.3","","",""
"","","","","10","Point 1-1","(1765.005207762, 731.556406969, 0.000000000)"
"","Total Line Length","=","13.7795275590548","","",""
"39","mm","","","","",""
"","","Line 9-1","0.15","","",""
"","","Line 9-2","0.82","","",""
"","","Line 9-3","0.49","","",""
"","","","","13","Point 1-1","(1772.489875419, 705.196035999, 71.981627297)"
"","","Line 9-4","3.41","","",""
"","","Line 9-5","0.49","","",""
"","","","","13","Point 1-1","(1769.012185130, 705.196035999, 71.981627297)"
"","","Line 9-6","0.82","","",""
"","","Line 9-7","0.15","","",""
"","","Line 9-8","1.71","","",""
"","","Line 9-9","1.02","","",""
"","Total Line Length","=","9.07410248565264","","",""
"40","mm","","","","",""
"","","Line 9-1","1.02","","",""
"","","Line 9-2","1.71","","",""
"","","","","O","Point 1-1","(1774.388333424, 700.701285343, 71.981627297)"
"","","Line 9-3","0.15","","",""
"","","Line 9-4","0.82","","",""
"","","Line 9-5","0.49","","",""
"","","Line 9-6","3.41","","",""
"","","","","O","Point 1-1","(1775.208543398, 700.701285343, 71.981627297)"
"","","Line 9-7","0.49","","",""
"","","Line 9-8","0.82","","",""
"","","Line 9-9","0.15","","",""
"","Total Line Length","=","9.07410248565273","","",""
"41","mm","","","","",""
"","","Line 9-1","0.15","","",""
"","","Line 9-2","0.82","","",""
"","","Line 9-3","0.49","","",""
"","","Line 9-4","3.41","","",""
"","","","","O","Point 1-1","(1766.299750747, 700.701285343, 71.981627297)"
"","","Line 9-5","0.49","","",""
"","","Line 9-6","0.82","","",""
"","","Line 9-7","0.15","","",""
"","","Line 9-8","1.71","","",""
"","","","","O","Point 1-1","(1767.119960721, 700.701285343, 71.981627297)"
"","","Line 9-9","1.02","","",""
"","Total Line Length","=","9.07410248565273","","",""
"42","mm","","","","",""
"","","Line 9-1","1.02","","",""
"","","Line 9-2","1.71","","",""
"","","Line 9-3","0.15","","",""
"","","Line 9-4","0.82","","",""
"","","Line 9-5","0.49","","",""
"","","","","14","Point 1-1","(1769.072522144, 696.173726288, 71.981627297)"
"","","Line 9-6","3.41","","",""
"","","Line 9-7","0.49","","",""
"","","","","14","Point 1-1","(1772.484595634, 696.173726288, 71.981627297)"
"","","Line 9-8","0.82","","",""
"","","Line 9-9","0.15","","",""
"","Total Line Length","=","9.07410248565264","","",""
"43","m1 150 mm","","","","",""
"","","Line 2-1","0.77","","",""
"","","","","O","Point 2-1","(1770.508084080, 700.701285343, 0.000000000)"
"","","","","O","Point 2-2","(1771.000210065, 700.701285343, 0.000000000)"
"","","Line 2-2","0.77","","",""
"","","","","O","Point 2-1","(1770.508084080, 700.701285343, 0.000000000)"
"","","","","O","Point 2-2","(1771.000210065, 700.701285343, 0.000000000)"
"","Total Line Length","=","1.54605937676654","","",""
"44","m1 150 mm","","","","",""
"","","Line 2-1","0.77","","",""
"","","Line 2-2","0.77","","",""
"","Total Line Length","=","1.54605937676654","","",""
"45","m1 150 mm","","","","",""
"","","Line 2-1","0.77","","",""
"","","Line 2-2","0.77","","",""
"","Total Line Length","=","1.54605937676654","","",""
"46","m1 150 mm","","","","",""
"","","Line 2-1","0.77","","",""
"","","Line 2-2","0.77","","",""
